PID,p,Nombre de carpeta digital,Digital File Name (First),Digital File Name (Last),,Level of description,Extent and medium,Title (In Original Language/Script),Original Reference,Dates of Material (Gregorian Calendar),,Related Towns/Cities,NO INCLUIDO EN TABLA DE BIBLIOTECA BRITÁNICA,,"Related Subjects
",,,,,
Identificador,Tu nombre (persona encargada de la catalogación),Nombre de carpeta digital,Nombre de archivo digital (primero),Nombre de archivo digital (segundo),Número de imágenes,Nivel de descripción,Volumen y soporte,Título del documento,Referencia original de archivo físico,Fecha de inicio del proceso legal,Fecha final,"Lugares mencionados (Pueblos, regiones, paises, ríos, quebradas, cerros, minas, fincas y otros referentes geográficos)",Nombres de personas mencionadas,Nombres de instituciones mencionadas,Temas relacionados,Descripcion breve del documento: ¿Sobre que es?,Problemas para resolver (documento físico),Problemas para resolver (digitalización),Observaciones de catalogación,Fecha de revisión
Es necesario que cada objeto tenga un código de referencia único y jerárquico. Puede ser similar al nombre de la carpeta digital.,También necesitamos apellidos,,,,,"Especificar a qué se refiere esta descripción. En ISAD(G), existen los fondos, subfondos, series, subseries, unidades documentales compuestas (i.e. volúmenes, legajos, carpetas, protocolos etc.) y unidades documentales sencillas (i.e. documentos). No hay que usarlas todas. Entendemos ustedes están usando fondos, unidades compuestas y unidades sencillas. La clave es describir todos los niveles a los que pertenece cada item en el catálogo además de las unidades sencillas.","Información sobre el tamaño y características de la documentación física. (Cantidad, tamaño, dimensiones)",,,"Complete la fecha completa en el formato AAAA-MM-DD. Si no sabe el mes y/o día, en la fecha inicial poner el más temprano posible Y DEJAR UNA NOTA EN LA COLUMNA DE OBSERVACIONES DE CATALOGACIÓN.","La última fecha mencionada en el proceso, en formato AAAA-MM-DD. No importa si hay muchas otras fechas, solo nos interesa la última.",,"Escríbalos de la forma ""Nombre Apellido"" Separe los nombres con punto y coma (;)","Si hay más de una, separar con una barra (|). Ejemplos: Juzgado de Istmina | Gobernación de X | Alcaldía de Y",Lo que pudiste captar...,Lo que pudiste captar...,"Ejemplos: el año no es el correcto, faltan algunas páginas del documento, hay algo que no entiendo que quiero que se revise","La imagen está borrosa, la secuencia está mal, hay una sombra que dificulta la lectura, etc. etc.","Poner comentarios acerca de la catalogación. Por ejemplo — no está clara la fecha inicial más allá del año. O el nombre de X es de difícil lectura, etc.","Poner, con fechas en formato AAAA-MM-DD, la historia de la creación y revisión de esta descripción, así como el nombre de la persona que hizo dicha revisión"
"Sugerimos este formato: para los fondos ""ahjci.mfc""; para las cajas ""ahjci.mfc.001"", y para los documentos,""ahjci.mfc.001.001"".",,,nombre o código de la primera imagen,nombre o código de la última imagen,,"Necesitan agregar filas para el archivo completo, los dos fondos (Minería y familia y el otro), para cada unidad compuesta (caja, etc.) y después sí para los documentos individuales. De esta forma le damos cuerpo a la estructura y a la jerarquía del archivo.","e.g. ""100 páginas. Manuscrito."" (para un documento) o ""100 cajas/carpetas/bolsas/etc."" (para un fondo), o ""50 expedientes/documentos/cartas"" (para una unidad documental compuesta. En caso de tener folios numerados para los documentos o unidades documentales simples, poner el número del primer y último folio ""folios 001r-020v""",,,"Es decir, si sabe que es 1870, poner 1870-01-01. Si sabe que es julio de 1871, poner 1871-07-01. Si sabe el día pero no el mes, anótelo en la columna de observaciones de catalogación y trátelo como si solo supiera el año.","Si no sabe el mes y/o día de la fecha final, poner la última fecha posible Y DEJAR UNA NOTA EN LA COLUMNA DE OBSERVACIONES DE CATALOGACIÓN.. E.g. si sabe que se acaba en 1875 pero no el mes y día, poner 1875-12-31. Si solo sabe que es marzo de 1875, 1875-03-31. Si sabe el día pero no el mes, anótelo en la columna de observaciones de catalogación y trátelo como si solo supiera el año.","En caso de ser varios pueblos y ciudades mencionados, en formato ""Ciudad, Departamento"". Si hay más de uno, debe separarlos con una barra (|).","Escríbalos de la forma ""Apellido, Nombre (Descripción)"". Separe los nombres con una barra (|). Entre los paréntesis (""Descripción"") poner una o dos palabras con información básica acerca de cada individuo, como su título, si la hay. Por ejemplo, ""abogado"", ""juez"", ""capitán"", ""alcalde de X"", ""notario"", etc.",,"Temática general, e.g. amancebamiento, minería, tierras, sucesión, criminal, etc. Si hay más de una, separar con una barra (|)",Acá sí pueden poner la descripción o resumen del material.,"Hay que separar dos tipos de problema distintos: problemas con el material físico, y problemas con la foto. Sugerimos dejar esta columna para lo primero y agregar la columna a continuación para lo segundo.",,,"eg Fondos definifidos y catalogados por XX en AAA-MM-DD, o ""Descrito por Andreina Soto el 2022-12-08, revisado por Juan Cobo Betancourt el 2022-12-22"""
AHJCI,Daniel Varela Corredor,EAP1477,,,61163,Archivo,"2 fondos; 37 cajas; 814 expedientes, manuscritos",Archivo Histórico del Juzgado del Circuito de Istmina,Archivo Histórico del Juzgado del Circuito de Ismtina,1860,1930,Aguas Negras|Ampaná|Amporrá|Andagoya|Ánimas|Arenal|Bajo Opogodó|Bajo San Juan|Bajo Tamaná|Bagadó|Barranquilla|Baudó|Bebedó|Beté|Boca de Aguacate|Boca de Bao|Boca de Baudó|Boca de Cucurrupi|Boca de Curundó|Boca de Dorendó|Boca de Raspadura|Boca de Salao|Boca de Sesego|Bocas de Calima|Bocas de Profundó|Bocas de Tamaná|Bocas del Zanjón|Bogotá|Buen Retiro|Buenaventura|Buga|Cali|Caliche|Caloto|Candelaria|Cañaveral|Cantarrajadas|Carmen|Cartagena|Cartago|Cascajero|Catripe|Chambon|Charcolargo|Cértegui|Chaquía|Cimarronas|Condado|Condoto|Cojito|Cúcuta|Cuellar|Damasco|Dipurdú|Dipurdú de los Indios|Dipurdocito|Docordó|El Arenal|El Barro|El Bocón|El Cajón|El Carmelo|El Caucho|El Manza|El Tapón|El Tigre|El Venado|Gallinazo|Guigualdó|Guarato|Hijúa|Hormiguero|Iró|Istmina|Juntas de Tamaná|La Beltrana|La Esperanza|La Florida|La Moruña|La Unión|Las Ánimas|Las Delicias|London|Malagar|Malaquita|Mamaza|Managrú|Mandinga|Manizales|Maucamo|Medellín|Megue|Minguimandó|Miraflores|Montería|Mumbú|Munguidó|Neguá|Negría|New Mexico|Noanamá|Nóvita|Nuquí|Opogodó|Opogodocito|Orpúa|Pabaradó|Paimadó|Palestina|Palmira|Panamá|Pángal|Pepé|Pereira|Perico|Periquito|Pie de Pató|Pizarro|Plan de Raspadura|Playa de Oro|Platinero|Playa del Rosario|Playón|Popayán|Potedó|Primavera|Primera Mojarra|Pringamó|Purrichá|Pueblo Nuevo|Pueblo Rico|Quibdó|Puerto la Peña|Raspadura|Riohacha|Roldanillo|San Agustín|San Antonio|San Benito|San Cayetano|San Francisco|San Gregorio|San Lorenzo|San Jerónimo|San Miguel|San Pablo|Santa Ana|Santa Bárbara de Iró|Santa Rita|Silvestre|Sipí|Soledad|Suruco|Tadó|Tadocito|Tajuato|Tamaná|Timbiquí|Titiribí|Togoromá|Tres Quebradas|Tulua|Tumaco|Viro Viro|Yanaconas|Zábalo,,,,"Esta colección contiene copias digitales de expedientes legales que hacen parte del Archivo del Circuito Judicial de Istmina, en el departamento colombiano de Chocó. La colección digital se compone de causas civiles y criminales iniciadas y juzgadas entre 1860 y 1930 (Aunque la mayoría de docuementos fueron producidos después de 1886, algunos de ellos están fechados en años previos). En el siglo XIX, esta corte regional se conoció como Juzgado del Distrito de San Juan con sede en Nóvita, y en el siglo XX pasó a llamarse Juzgado del Circuito de Istmina y trasladó sus oficinas y archivo a esta ciudad. Esta corte ejerció jurisdicción sobre las cuencas de los ríos San Juan y Baudó, incluyendo los municipios de Tadó, Istmina, Condoto, Nóvita, Sipí, Cuellar y Baudó. Entre los casos juzgados, se destacan pleitos por propiedades mineras y agrícolas, cobro de deudas, delitos contra el tesoro público, robo, estafa, riñas entre vecinos, heridas, homicidio, pleitos familiares, sucesiones y crímenes sexuales. En general, los expedientes de estos casos legales incluyen los cargos presentados, resúmenes de pruebas, argumentos de defensa, conclusiones y sentencias dictadas. Entre las personas involucradas en estos casos legales encontramos campesinos y pequeños mineros afrodescendientes e indígenas, miembros de la élite local, comerciantes regionales, inversionistas nacionales, empresas mineras internacionales, funcionarios públicos, y abogados locales. El archivo digital está dividido en dos series: (1) Minería y Familia y (2) General, y los materiales están agrupados en cajas que corresponden a años específicos. Los documentos están escritos en español, algunos a mano y otros a máquina de escribir, casi siempre en hojas de papel de tamaño oficio. Se encuentran en distintos grados de conservación y legibilidad. Aunque están en varios grados de deterioro, la mayoría sí se logran leer.",,,,"Descrito por Daniel Varela Corredor el 2023-06-07, revisado por Kelly López Roldán el 2024-02-20"
AHJCI.MFC,Daniel Varela Corredor,MFC,,,19895,Fondo,"10 cajas, 265 expedientes, manuscritos; incluye material gráfico, impreso y un mapa",Fondo Minería y Familia,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia",1864,1930,Aguas Negras|Andagoya|Ánimas|Arenal|Bajo Opogodó|Bajo San Juan|Bagadó|Barranquilla|Baudó|Bebedó|Beté|Boca de Aguacate|Boca de Cucurrupi|Boca de Dorendó|Boca de Salao|Boca de Sesego|Bocas de Calima|Bocas de Tamaná|Bocas del Zanjón|Bogotá|Buen Retiro|Buenaventura|Buga|Cali|Caloto|Cantarrajadas|Carmen|Cartagena|Cartago|Cascajero|Chambon|Charcolargo|Cértegui|Chaquía|Cimarronas|Condado|Condoto|Cojito|Cúcuta|Cuellar|Damasco|Dipurdú|Dipurdú de los Indios|Dipurdocito|Docordó|El Arenal|El Barro|El Bocón|El Cajón|El Carmelo|El Caucho|El Tapón|El Tigre|El Venado|Hijúa|Hormiguero|Iró|Istmina|La Beltrana|La Esperanza|La Florida|La Moruña|La Unión|Las Delicias|London|Juntas de Tamaná|Malagar|Malaquita|Mamaza|Managrú|Mandinga|Manizales|Maucamo|Medellín|Megue|Miraflores|Montería|Mumbú|Munguidó|Neguá|New Mexico|Noanamá|Nóvita|Opogodó|Opogodocito|Orpúa|Paimadó|Palestina|Panamá|Pángal|Pepé|Periquito|Pizarro|Plan de Raspadura|Playa de Oro|Playón|Popayán|Potedó|Primavera|Pueblo Nuevo|Pueblo Rico|Quibdó|Puerto la Peña|Raspadura|Riohacha|Roldanillo|San Agustín|San Antonio|San Benito|San Cayetano|San Francisco|San Gregorio|San Lorenzo|San Jerónimo|San Miguel|San Pablo|Santa Ana|Santa Bárbara de Iró|Santa Rita|Silvestre|Sipí|Soledad|Tadó|Tajuato|Tamaná|Timbiquí|Titiribí|Togoromá|Tres Quebradas|Tulua|Tumaco|Yanaconas,,,,"Entre 2021 y 2023, Daniel Varela y Angélica Agualimpia examinaron los documentos almacenados en el Archivo Judicial de Istmina y seleccionaron aquellos que hoy hacen parte de la serie Minería y Familia. El criterio de selección se orientó por los intereses específicos de la organización familiar interna de campesinos y pequeños mineros afrodescendientes y de los conflictos sociales asociados a la explotación de recursos mineros (oro y platino).). Así, este fondo recoge expedientes judiciales que tienen que ver con casos de amancebamiento y separación matrimonial de bienes, sucesiones familiares, pleitos por propiedad de minas y tierras agrícolas, y demandas de indemnización por trabajos mineros. También hace seguimiento a algunos personajes claves involucrados en estos conflictos como las compañías mineras Chocó Pacífico y British Platinum and Gold Co., sociedades mineras locales como La Lozana, comerciantes locales de oro y platino como Antonio Asprilla y Rito E. Florez, funcionarios públicos y abogados como Hermenegildo Bonilla, Cayetano Acosta y Sergio Abadía Arango, y otros miembros de la élite local como Pantaleón Florez de Primavera y la familia Lozano de Condoto.",,,,"Descrito por Daniel Varela Corredor el 2023-06-07, revisado por Kelly López Roldán el 2024-02-20"
AHJCI.MFC.001,Daniel Varela Corredor,MFC_B01,,,2951,Caja,"41 expedientes, manuscritos",Caja 1,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 1",1864,1899,Baudó|Bebedó|Bocas de Calima|Bocas de Tamaná|Buenaventura|Buga|Cali|Condoto|Cúcuta|Cuellar|Dipurdocito|El Cajón|Istmina|Juntas de Tamaná|Malaquita|Noanamá|Nóvita|Opogodó|Paimadó|Palestina|Pepé|Plan de Raspadura|Popayán|Potedó|Primavera|Quibdó|Raspadura|San Jerónimo|San Pablo|Santa Rita|Sipí|Tadó,,,,"Esta caja contiene 41 procesos judiciales comprendidos entre 1864 y 1899. La mayoría son denuncias por amancebamiento. También incluye casos relacionados con conflictos familiares como juicios de sucesión, deslinde de terrenos y maltrato; así como causas abiertas por delitos como riñas, heridas, intentos de homicidio, desobediencia a la autoridad, robo y falsificación de documentos públicos.",,,,"Descrito por Daniel Varela Corredor el 2023-06-07, revisado por Kelly López Roldán el 2024-02-20"
AHJCI.MFC.001.001,Yurleyda Perea Cuesta,EAP1477_MFC_B01_Doc01_HurtadovsCastillo,EAP1477_MFC_B01_Doc01_HurtadovsCastillo_IMG_001,EAP1477_MFC_B01_Doc01_HurtadovsCastillo_IMG_214,214,Documento,107 folios de papel,"Francisco Hurtado contra Lucio Castillo por maltratamiento de obra, tentativa de homicidio y heridas","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 1, Documento 1",1877,,Cajón|San Pablo|Nóvita|Popayán,"Castillo, Lucio|Valencia, Miguel|Hurtado, Francisco|Lozano, Primo|Diego, Floriano de|Camacho, Germán|Dávila, Delfina|Asprilla, Aníbal|Hurtado, Fran|Arboleda, Rafael|Saavedra, Manuela|Salazar, José|Camacho, Josefina|Cruz, Juan de la|Saavedra, Ruvecinda",,administración-judicial|judicial,"El señor Francisco Hurtado demandó al señor Lucio Castillo por robo de algunas de sus pertenencias y maltratamiento de obra. Castillo agredió físicamente a Hurtado, lo que este último calificó como tentativa de homicidio y heridas en su persona.",,,,"Descrito por Yurleyda Perea Cuesta el 2022-10-31, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.001.002,Ernestina Lemos Rentería,EAP1477_MFC_B01_Doc02_MurillovsMoreno,EAP1477_MFC_B01_Doc02_MurillovsMoreno_IMG_001,EAP1477_MFC_B01_Doc02_MurillovsMoreno_IMG_006,6,Documento,2 folios de papel,"Alejandro Murillo contra Zoila Moreno y su hermana por heridas, conflicto por derechos en terreno arrendado","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 1, Documento 2",1888,,Nóvita|Cauca|Buga,"Murillo, Alejandro|Moreno, Zoila|Guerra, Florencio|Moreno, Remedios|Soto, Abraham|Valenzuela, Teófilo|Bonilla, Hermenegildo",,administración-judicial|administración-judicial,"El señor Alejandro Murillo demandó a la señora Zoila Moreno y su hermana Remedios Moreno por problemas en arrendamiento y heridas. Alejandro Murillo entró al sitio que tenía arrendado a Florencio Guerra, esposo de Remedios Moreno, a coger unos chontaduros y las Moreno le exigieron que los partiera con ellas, él se armó al instante con un machete que tenía. Remedios, temerosa de que las hiriera, le quitó el machete a Alejandro, pero él cogió otro, la otra hermana, Zoila, trató de quitarle el arma y el mismo Alejandro expresó que Zoila lo cortó de adrede. En el transcurso del caso al hablar el juez dice lo siguiente: ''aún en el supuesto de que se hubiera probado que efectivamente la Moreno lo hubiera herido, no sería responsable por encontrarse él en la casa de las incisas''.",,,,"Descrito por Ernestina Lemos Rentería el 2022-11-01, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.001.003,Nallely Taborda Castañeda,EAP1477_MFC_B01_Doc03_MurillovsMurillo,EAP1477_MFC_B01_Doc03_MurillovsMurillo_IMG_001,EAP1477_MFC_B01_Doc03_MurillovsMurillo_IMG_086,86,Documento,42 folios de papel,"Contra Francisco Murillo y Juana Petrona Murillo, Ciriaco Murillo y Manuelita Murillo, José Antonio Murillo y María Estefanía Murillo, Eleuterio Mosquera y Fernando Murillo y Felipe Murillo e Indalecia Largacha por amancebamiento","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 1, Documento 3",1888,,Primavera,"Murillo, Francisco|Murillo, Juana Petrona|Murillo, Manuelita|Murillo, Estefani|Mosquera, Eleuteno|Murillo, Fernanada|Murillo, Felipe|Largacha, Idalencia|Guerrera, Julián|Hernandez, José|Murillo, Vicente|Murillo, María Isidora",,administración-judicial|vida social,"Felipe Murillo, casado con María Isidora Murillo, viene amancebado con Indalecia Largacha hace seis años, haciendo vida de casados sin serlo y sin éste haberse separado.",,Las imágenes 49 y 50 tienen una orientación contraria al resto del documento,,"Descrito por Nallely Taborda Castañeda el 2022-10-17, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.001.004,Nallely Taborda Castañeda,EAP1477_MFC_B01_Doc04_LozanovsLozano,EAP1477_MFC_B01_Doc04_LozanovsLozano_IMG_001,EAP1477_MFC_B01_Doc04_LozanovsLozano_IMG_024,24,Documento,11 folios de papel,José María Lozano Mosquera demanda el inventario y avalúo de bienes del finado Carlos Lozano,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 1, Documento 4",1880,,Condoto|Hacienda Juana|San Pablo|San Juan,"Lozano, José María|Lozano, Vicente|Camacho, Germán|Lozano, Carlos|Moreno, Víctor|Guerrero, Rafaela|Gertrudis, José|Hurtado, José J|Lozano, Abel|Andrade, Elías|Lozano, Matías|Lozano, Toribio|Aedo, Diego|Guerrero, Rafaela|Sánchez, Daniel",,administración-judicial|tierras,"Este documento nos habla sobre el enfrentamiento de unos hermanos por la herencia de una hacienda llamada Hacienda Juana. José María demandó a las otras partes para que se hiciera un avalúo de todos los bienes dejados por su finado padre, Carlos María Lozano, y de esta manera proceder a repartir y dividir equitativamente todos los bienes.",,,,"Descrito por Nallely Taborda Castañeda el 2022-10-19, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
